history,model,scenario,write_cl,read_cl,result,reason,workload_status_counts,raw_path
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-quorum-01,ryw,node_stop,QUORUM,QUORUM,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-quorum-01.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-quorum-05,wfr,node_stop,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-quorum-05.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-05,ryw,node_stop,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-05.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-03,ryw,node_stop,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-03.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-01,ryw,node_stop,ONE,ONE,no_witness_observed,follow-up read returned 'v1',"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-ryw-one-01.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-one-05,wfr,node_stop,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-one-05.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mw-quorum-01,mw,node_stop,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mw-quorum-01.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-quorum-01,wfr,node_stop,QUORUM,QUORUM,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-quorum-01.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mr-quorum-01,mr,node_stop,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mr-quorum-01.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mr-quorum-02,mr,node_stop,QUORUM,QUORUM,no_witness_observed,second read returned 'v1',"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mr-quorum-02.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mw-quorum-03,mw,node_stop,QUORUM,N/A,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 2}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-mw-quorum-03.jsonl
20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-one-03,wfr,node_stop,ONE,ONE,no_witness_observed,diagnostic state did not show b without a,"{""ok"": 3}",results/raw/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1/member-b/20260916T112400Z-35c1262b-8238-462b-a667-42746045efc1-wfr-one-03.jsonl
